;Peso;Medida;Calorias;Carbs;Gordura;Proteina;Consumo;Fibras;Umidade
Pizza;250;g;300;35;12;13;0;8;55.39
Hamburguer;400;g;267;11.04;16.01;19.3;0;0;52.37
Coxinha;80;g;283.048;34.52058333;11.836;9.610416667;0;4.970333333;42.21066667
Pastel;400;g;422.11208;48.13273362;22.67033333;8.709599709;0;0.943333333;17.541
Pão de queijo;100;g;363.0779133;34.2415;24.56733333;5.120833333;0;0.558333333;33.736
Batata-frita;100;g;542.7346734;51.22233333;36.615;5.583333333;0;2.455666667;2.697333333
Pipoca;100;g;448.3342618;70.31258333;15.941;9.927083333;0;14.33666667;2.819
Milk-shake;230;ml;118;15.57;5.18;2.68;0;0.7;73.368
Sorvete;60;g;255;20.57;16.98;4.72;0;0.9;57.52
Bolo;100;g;410.0136667;54.71775;18.47233333;6.222916667;0;1.43;19.27633333
Doce de leite;20;g;306.3101302;59.49337324;5.993;5.478293432;0;0;27.5
Chocolate;100;g;539.5866667;59.57666667;30.26666667;7.22;0;2.17;1.256666667
Ovo cozido;40;g;145.70017;0.614916667;9.476333333;13.29375;0;0;75.76566667
Ovo frito;50;g;240.187224;1.193666667;18.59266667;15.61666667;0;0;63.49733333
Misto quente;100;g;241;22.84;10.6;14.17;0;0;74.17
Tapioca;100;g;347.8265563;63.59175;10.90833333;0.089583333;0;0;24.90233333
Queijo;122;g;264.273128;3.240313333;20.18066667;17.41102;0;0;56.12466667
Maça;120;g;62.53181837;16.588;0.246;0.225;0;2.026333333;82.649
Banana;118;g;91.52884783;23.84811594;0.116666667;1.398550725;0;1.946666667;73.79666667
Mamão;150;g;40.15676894;10.43975;0.124333333;0.45625;0;1.042666667;88.583
Abacate;100;g;96.1547087;6.030869565;8.396666667;1.239130435;0;6.313333333;83.78666667
Laranja;90;g;45.70103878;11.53375;0.075333333;1.05625;0;1.782;86.974
Morango;50;g;30.14791739;6.818405797;0.31;0.894927536;0;1.723333333;91.52666667
Leite;200;ml;69.621474;15.67447333;0.099;1.89486;0;0;81.87933333
Café;60;ml;418.6186667;65.75333333;11.94666667;14.7;0;51.22666667;2.93
Suco de laranja;200;ml;39.33609394;9.167416667;0.119333333;0.714583333;0;0.424;89.68066667
Refrigerante;200;ml;33.5142;8.66;0;0;0;0;91.27666667
Arroz;100;g;128.2584857;28.05985;0.227;2.520816667;0;1.561;69.11366667
Batata assada;100;g;51.58847664;11.94375;0;1.164583333;0;1.343333333;86.35966667
Feijão;100;g;76.42408567;13.59103333;0.542333333;4.775;0;8.510333333;80.35063333
Frango;100;g;159.1850072;0;2.483666667;32.03333333;0;0;63.80933333
Bife;100;g;193.6915667;0;4.486666667;35.88333333;0;0;57.53333333
Lasanha;300;g;163.7636667;32.52216667;1.158333333;5.8125;0;1.636333333;59.64633333
Peixe;113;g;131.2083147;0;5.641666667;18.81041667;0;0;76.16
Nhoque;200;g;180.775274;36.78;1.943333333;5.858333333;0;1.78;54.954
Macarrão;80;g;119.5317714;22.52236683;0.889666667;4.934299835;0;0.776666667;71.41233333
Alface;25;g;8.794903237;1.745333333;0.129;0.608333333;0;1.021666667;97.16866667
Tomate;50;g;15.33515652;3.13884058;0.173333333;1.097826087;0;1.173333333;95.12666667
Repolho;70;g;17.1188029;3.859855072;0.143333333;0.876811594;0;1.89;94.72
Cenoura;100;g;29.86177771;6.68675;0.218333333;0.847916667;0;2.629;91.663
Couve-flor;100;g;19.11414061;3.875416667;0.269333333;1.239583333;0;2.130333333;94.33833333
Brocolis;100;g;24.63616311;4.366666667;0.459;2.133333333;0;3.416666667;92.617
Nozes;100;g;620.0600198;18.36386616;59.35966667;13.9708005;0;7.249666667;6.244666667
Atum;110;g;165.9105606;0;5.996666667;26.1875;0;0;64.5
Sardinha;100;g;284.9810049;0;24.04866667;15.93958333;0;0;55.14266667
