;Peso;Medida;Calorias;Carbs;Gordura;Proteina;Consumo;Processing
Pizza;250;g;300;35;12;13;15;0.08
Hamburguer;400;g;480;50;40;30;10;0.08
Coxinha;80;g;65;0;3;0;3;0.1
Hot-dog;400;g;290;31;26;2;5;0.1
Batata-frita;100;g;225;28;11;4;5;0.1
Doritos;60;g;150;17;7;2;5;0.2
Pipoca;100;g;375;74;4;11;4;0.8
Milk-shake;230;ml;271;31;12;7;10;0.1
Sorvete;60;g;126;15;6;2;5;0.1
Bolo;100;g;371;53;15;5;3;0.1
Doce de leite;20;g;72;13;1;2;1;0.02
Brigadeiro;11;g;37;6;1;1;1;0.05
Ovo mexido;40;g;57;0;4;5;5;0.01
Ovo frito;50;g;120;1;9;8;6;0.01
Misto quente;100;g;321;21;21;7;5;0.04
Tapioca;100;g;220;55;0;0;10;0.01
Queijo;122;g;365;4;29;8;5;0.02
Maçã;120;g;66;17;0;0;3;0
Banana;118;g;105;27;0;1;2;0
Mamão;150;g;58;15;0;1;2;0
Abacate;100;g;96;9;12;1;2;0
Laranja;90;g;62;15;0;1;2;0
Morango;50;g;15;4;0;1;2;0.03
Leite;200;ml;114;9;6;6;2;0.05
Café;60;ml;18;0;0;0;1;0.02
Suco de laranja;200;ml;72;17;0;1;2;0.01
Refrigerante;200;ml;93;23;1;1;2;0.1
Arroz;100;g;109;24;0;2;10;0.01
Batata assada;100;g;152;24;5;3;5;0.01
Feijão;100;g;143;26;1;9;5;0.01
Frango;100;g;159;0;3;32;6;0.01
Bife;100;g;122;0;4;21;6;0
Lasanha;300;g;389;36;17;24;15;0.03
Tilápia;113;g;99;0;2;19;15;0.01
Parmegiana;200;g;700;59;39;30;15;0.04
Macarrão;80;g;279;59;1;8;10;0.03
Alface;25;g;5;1;0;0;2;0
Tomate;50;g;9;2;0;1;2;0
Repolho;70;g;31;7;0;1;2;0
Cenoura;100;g;34;8;0;1;2;0
Couve-flor;100;g;22;4;0;1;2;0
Brocolis;100;g;158;55;2;3;2;0
Nozes;100;g;607;21;54;20;2;0
Atum;110;g;197;0;10;24;6;0.04
Sardinha;100;g;147;0;11;21;6;0.04
